baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Coprobacillus	12176.4901265147	-1.9868250031763	0.995926475555381	-1.99495148682371	0.0460481712490328	0.869798790259509
Selenomonas	11948.2667240909	-0.330275291276733	0.884684927178909	-0.373325328747171	0.708906327304516	0.997000488191416
Slackia	11599.3674952044	-0.395285335003982	0.886742282292796	-0.445772512371821	0.655761579315237	0.997000488191416
Listeria	11256.8346400341	-0.670273930409648	0.898840580406603	-0.745709467307807	0.455842938919475	0.997000488191416
Eggerthella	11086.1934298773	-0.235170934379285	0.882362000117117	-0.266524322611435	0.789835429887603	0.997000488191416
Geobacillus	10257.2334607324	-0.487735240326068	0.890298433104786	-0.547833425501113	0.58380628497318	0.997000488191416
Desulfotomaculum	9685.37764905587	-0.0288070973517819	0.88005901330566	-0.0327331427963873	0.973887393915678	0.998557641529947
Symbiobacterium	9275.28030607545	-1.22391630077906	0.935689209567799	-1.30803720750867	0.190860689537587	0.997000488191416
Olsenella	9014.74880738775	-0.658413427679578	0.898397166930683	-0.732875672269766	0.463634262184141	0.997000488191416
Staphylococcus	8276.89360923802	-0.395418828302835	0.88704111347498	-0.445772830927513	0.655761349184096	0.997000488191416
Pelotomaculum	7678.01337458451	0.846652307755285	0.90937649947322	0.931025057548475	0.351840602561598	0.997000488191416
Moorella	7271.18742989274	0.611259483410482	0.896178273409118	0.682073535531287	0.495192453746608	0.997000488191416
Streptomyces	7124.13589197527	1.56105321340406	0.962326445098095	1.62216597221844	0.104767815467526	0.997000488191416
Corynebacterium	6901.36095116699	-0.709849354211887	0.901449311689241	-0.787453431942489	0.431016478697571	0.997000488191416
Heliobacterium	6894.14220349416	0.694643089105608	0.90056858725158	0.771338351058379	0.440506406039973	0.997000488191416
Candidatus	6635.36176309637	-0.137426732035546	0.881272941091369	-0.155941168312006	0.87607939461377	0.998557641529947
Burkholderiales	6217.55081572998	-1.18713178102325	0.933312957569934	-1.27195467650442	0.203389223323267	0.997000488191416
Geobacter	6148.5186114338	-0.218682423448886	0.882654570681517	-0.247755385529853	0.804323676004205	0.997000488191416
Carboxydothermus	5927.84595740847	-0.446831008227764	0.889289971360204	-0.502458166197825	0.615345272278146	0.997000488191416
Paludibacter	5892.64161620662	0.500252721870934	0.891381810801555	0.56121037675325	0.57465412984386	0.997000488191416
Thermoanaerobacterium	5765.6015029659	-0.217345827562138	0.882721511804158	-0.246222420837931	0.80551006040556	0.997000488191416
Akkermansia	5581.27088819839	1.92295781867463	0.991421324007037	1.93959699283307	0.0524286866279196	0.886900855395519
Micromonas	5574.08378882981	-0.984335619203553	0.918913993959796	-1.07119450315675	0.284081982689663	0.997000488191416
Erysipelotrichaceae	5465.46564580056	-0.315849180138402	0.885127521809115	-0.356840310978962	0.721211356483245	0.997000488191416
Monodelphis	5248.69293440062	-0.528294767621879	0.892795846868048	-0.591730762945584	0.554030893160463	0.997000488191416
Acetivibrio	5234.55232216336	0.889014974579253	0.91254779362703	0.97421195995199	0.329951307504765	0.997000488191416
Campylobacter	5134.87118927243	-1.05600814795587	0.923987090315778	-1.14288192878861	0.253087616508897	0.997000488191416
Treponema	4928.17075963126	-0.217865884845322	0.882983904014063	-0.246738229151063	0.805110818476386	0.997000488191416
Sebaldella	4814.86435233001	-0.797105099451703	0.907003126817692	-0.878833904628778	0.379491340085719	0.997000488191416
Syntrophomonas	4603.01012703182	0.0534126948640567	0.881122583282488	0.0606189148677541	0.951662709339444	0.998557641529947
Rattus	4495.29215535328	1.3675470280118	0.947491949287379	1.44333366530486	0.148926500645296	0.997000488191416
Shuttleworthia	4407.72031328351	-0.891333039295327	0.913200307807663	-0.97605424754528	0.329037582468116	0.997000488191416
Spirochaeta	4308.43930266187	-0.569558873594184	0.89500433213249	-0.636375549420101	0.524531673500203	0.997000488191416
Dialister	4212.41907192123	-2.03655177748241	1.00078133344486	-2.03496179377392	0.0418547174418149	0.827360693617272
Gibberella	4211.5410512349	-1.44514549624125	0.953821703285144	-1.51511072904286	0.129744365059356	0.997000488191416
Finegoldia	4022.33612148265	-0.482278670533266	0.89134819120931	-0.54106652741276	0.588461728629092	0.997000488191416
Alicyclobacillus	3856.75952997356	0.605103757256774	0.896850565357208	0.674698529086355	0.499867319262783	0.997000488191416
Physcomitrella	3643.46581831862	3.14199957091367	1.07773463229446	2.91537404177543	0.00355262478978866	0.503288511886727
Vibrio	3636.97212361969	0.428366396613398	0.889443815157576	0.481611529939648	0.630081933983016	0.997000488191416
Shewanella	3617.58840850436	-0.346646740472642	0.886806277711412	-0.390893421917621	0.695876016465342	0.997000488191416
Cryptobacterium	3583.38293887139	-0.276386361839791	0.884899600267519	-0.312336407154253	0.754784874094775	0.997000488191416
Exiguobacterium	3579.3569274262	-0.9284634321131	0.915981127575587	-1.0136272507825	0.310760649424649	0.997000488191416
Acholeplasma	3500.26180761597	1.72413772304924	0.97619176849735	1.76618752450987	0.0773643933434197	0.939424776312953
